ÏñËØÖµ,º¯ÊýÖµ
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,13456
14,0
15,0
16,0
17,3681
18,0
19,2702
20,0
21,1818
22,1376
23,0
24,1194
25,1020
26,1943
27,888
28,938
29,1066
30,1142
31,0
32,1215
33,1296
34,1389
35,1368
36,0
37,1342
38,1267
39,1250
40,1162
41,1051
42,1101
43,0
44,1147
45,1203
46,1272
47,1477
48,0
49,1607
50,0
51,1840
52,0
53,2098
54,0
55,2555
56,0
57,0
58,2832
59,0
60,0
61,3393
62,0
63,0
64,0
65,3867
66,0
67,0
68,0
69,4377
70,0
71,0
72,0
73,0
74,4737
75,0
76,0
77,0
78,0
79,5023
80,0
81,0
82,0
83,0
84,5096
85,0
86,0
87,0
88,4776
89,0
90,0
91,0
92,0
93,4432
94,0
95,0
96,3704
97,0
98,0
99,3169
100,0
101,0
102,2552
103,0
104,2072
105,0
106,1809
107,1636
108,0
109,1518
110,1423
111,1341
112,0
113,1327
114,1257
115,1187
116,1225
117,0
118,1252
119,1203
120,1288
121,1334
122,0
123,1304
124,1282
125,1340
126,1366
127,0
128,1416
129,1527
130,0
131,1589
132,1564
133,0
134,1657
135,0
136,1757
137,1846
138,0
139,1817
140,0
141,1837
142,0
143,1956
144,0
145,1936
146,0
147,2139
148,0
149,2252
150,0
151,2400
152,0
153,0
154,2616
155,0
156,0
157,2867
158,0
159,0
160,3039
161,0
162,0
163,3094
164,0
165,0
166,3187
167,0
168,0
169,3429
170,0
171,0
172,0
173,3559
174,0
175,0
176,3593
177,0
178,0
179,3244
180,0
181,0
182,0
183,3337
184,0
185,0
186,3228
187,0
188,0
189,2918
190,0
191,2751
192,0
193,0
194,2459
195,0
196,2355
197,0
198,2182
199,0
200,2120
201,0
202,2049
203,0
204,1910
205,0
206,1827
207,1672
208,0
209,1521
210,1466
211,0
212,1491
213,1435
214,1399
215,0
216,1294
217,1222
218,1111
219,1060
220,1006
221,928
222,897
223,1641
224,835
225,1382
226,728
227,1334
228,588
229,1133
230,1028
231,937
232,1334
233,812
234,1132
235,1166
236,1080
237,961
238,863
239,1279
240,906
241,1175
242,931
243,877
244,1139
245,1066
246,1005
247,1042
248,949
249,1218
250,805
251,1102
252,1158
253,937
254,1018
255,638
