ÏñËØÖµ,º¯ÊýÖµ
0,13
1,17
2,19
3,21
4,22
5,24
6,25
7,26
8,26
9,27
10,28
11,29
12,30
13,32
14,33
15,34
16,35
17,37
18,38
19,39
20,40
21,41
22,42
23,44
24,45
25,46
26,47
27,49
28,51
29,53
30,55
31,58
32,61
33,65
34,69
35,74
36,79
37,84
38,88
39,93
40,96
41,99
42,102
43,104
44,106
45,107
46,109
47,110
48,111
49,113
50,114
51,115
52,116
53,118
54,119
55,120
56,121
57,123
58,124
59,125
60,126
61,128
62,129
63,131
64,132
65,134
66,136
67,137
68,139
69,141
70,143
71,145
72,147
73,149
74,151
75,154
76,157
77,160
78,163
79,166
80,169
81,173
82,176
83,179
84,183
85,186
86,189
87,191
88,194
89,196
90,198
91,200
92,202
93,204
94,206
95,207
96,209
97,210
98,212
99,213
100,214
101,216
102,217
103,218
104,219
105,220
106,221
107,222
108,223
109,223
110,224
111,225
112,225
113,226
114,227
115,227
116,228
117,229
118,229
119,230
120,230
121,231
122,231
123,232
124,232
125,232
126,233
127,233
128,234
129,234
130,234
131,235
132,235
133,235
134,236
135,236
136,236
137,237
138,237
139,237
140,238
141,238
142,238
143,239
144,239
145,239
146,239
147,240
148,240
149,240
150,241
151,241
152,241
153,241
154,242
155,242
156,242
157,243
158,243
159,243
160,244
161,244
162,244
163,244
164,245
165,245
166,245
167,245
168,246
169,246
170,246
171,246
172,247
173,247
174,247
175,247
176,248
177,248
178,248
179,248
180,249
181,249
182,249
183,249
184,249
185,250
186,250
187,250
188,251
189,251
190,251
191,251
192,252
193,252
194,252
195,252
196,252
197,252
198,253
199,253
200,253
201,253
202,253
203,253
204,254
205,254
206,254
207,254
208,254
209,254
210,254
211,254
212,255
213,255
214,255
215,255
216,255
217,255
218,255
219,255
220,255
221,255
222,255
223,255
224,255
225,255
226,255
227,255
228,255
229,255
230,255
231,255
232,255
233,255
234,255
235,255
236,255
237,255
238,255
239,255
240,255
241,255
242,255
243,255
244,255
245,255
246,255
247,255
248,255
249,255
250,255
251,255
252,255
253,255
254,255
255,255
