ÏñËØÖµ,º¯ÊýÖµ
0,13456
1,3681
2,2702
3,1818
4,1376
5,1194
6,1020
7,1000
8,943
9,888
10,938
11,1066
12,1142
13,1215
14,1296
15,1389
16,1368
17,1342
18,1267
19,1250
20,1162
21,1051
22,1101
23,1147
24,1203
25,1272
26,1477
27,1607
28,1840
29,2098
30,2555
31,2832
32,3393
33,3867
34,4377
35,4737
36,5023
37,5096
38,4776
39,4432
40,3704
41,3169
42,2552
43,2072
44,1809
45,1636
46,1518
47,1423
48,1341
49,1327
50,1257
51,1187
52,1225
53,1252
54,1203
55,1288
56,1334
57,1304
58,1282
59,1340
60,1366
61,1416
62,1527
63,1589
64,1564
65,1657
66,1757
67,1846
68,1817
69,1837
70,1956
71,1936
72,2139
73,2252
74,2400
75,2616
76,2867
77,3039
78,3094
79,3187
80,3429
81,3559
82,3593
83,3244
84,3337
85,3228
86,2918
87,2751
88,2459
89,2355
90,2182
91,2120
92,2049
93,1910
94,1827
95,1672
96,1521
97,1466
98,1491
99,1435
100,1399
101,1294
102,1222
103,1111
104,1060
105,1006
106,928
107,897
108,819
109,822
110,835
111,704
112,678
113,728
114,704
115,630
116,588
117,564
118,569
119,511
120,517
121,504
122,433
123,452
124,475
125,407
126,408
127,404
128,364
129,381
130,387
131,359
132,423
133,384
134,376
135,355
136,349
137,317
138,334
139,310
140,296
141,276
142,291
143,329
144,301
145,323
146,326
147,290
148,312
149,304
150,290
151,305
152,271
153,309
154,299
155,342
156,290
157,279
158,286
159,312
160,276
161,298
162,287
163,278
164,272
165,268
166,258
167,268
168,266
169,251
170,262
171,226
172,263
173,248
174,265
175,266
176,237
177,233
178,226
179,253
180,225
181,238
182,231
183,267
184,257
185,280
186,273
187,252
188,260
189,314
190,286
191,242
192,227
193,220
194,190
195,182
196,159
197,180
198,173
199,155
200,169
201,140
202,161
203,139
204,130
205,143
206,134
207,121
208,130
209,121
210,123
211,116
212,126
213,99
214,113
215,81
216,64
217,40
218,19
219,16
220,11
221,11
222,10
223,7
224,3
225,1
226,4
227,4
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,2
239,1
240,1
241,0
242,0
243,0
244,0
245,3
246,0
247,1
248,2
249,2
250,0
251,1
252,0
253,2
254,2
255,8
