ÏñËØÖµ,º¯ÊýÖµ
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,13456
36,0
37,0
38,0
39,3681
40,0
41,0
42,0
43,2702
44,0
45,1818
46,1376
47,0
48,1194
49,1020
50,1000
51,943
52,1826
53,0
54,1066
55,1142
56,1215
57,1296
58,1389
59,0
60,1368
61,1342
62,1267
63,1250
64,1162
65,1051
66,1101
67,1147
68,1203
69,1272
70,1477
71,1607
72,0
73,1840
74,2098
75,0
76,2555
77,0
78,0
79,2832
80,0
81,3393
82,0
83,0
84,3867
85,0
86,0
87,4377
88,0
89,0
90,0
91,4737
92,0
93,0
94,5023
95,0
96,0
97,0
98,5096
99,0
100,0
101,4776
102,0
103,0
104,4432
105,0
106,3704
107,0
108,0
109,3169
110,2552
111,0
112,2072
113,1809
114,1636
115,1518
116,1423
117,1341
118,2584
119,1187
120,1225
121,1252
122,2491
123,1334
124,1304
125,1282
126,1340
127,1366
128,1416
129,1527
130,1589
131,1564
132,1657
133,1757
134,1846
135,1817
136,0
137,1837
138,1956
139,1936
140,0
141,2139
142,2252
143,0
144,2400
145,2616
146,0
147,2867
148,0
149,3039
150,0
151,3094
152,0
153,0
154,3187
155,0
156,3429
157,0
158,3559
159,0
160,0
161,3593
162,0
163,3244
164,0
165,3337
166,0
167,0
168,3228
169,0
170,2918
171,0
172,2751
173,0
174,2459
175,0
176,2355
177,2182
178,0
179,2120
180,2049
181,0
182,1910
183,1827
184,0
185,1672
186,1521
187,1466
188,1491
189,0
190,1435
191,1399
192,1294
193,1222
194,1111
195,1060
196,1006
197,928
198,1716
199,822
200,835
201,1382
202,728
203,1334
204,1152
205,569
206,1028
207,937
208,927
209,1219
210,745
211,746
212,1183
213,704
214,961
215,863
216,630
217,939
218,616
219,866
220,608
221,911
222,598
223,574
224,837
225,526
226,785
227,488
228,511
229,768
230,459
231,478
232,469
233,524
234,553
235,512
236,314
237,528
238,227
239,410
240,341
241,353
242,324
243,301
244,269
245,277
246,251
247,244
248,116
249,126
250,212
251,81
252,104
253,67
254,36
255,12
