ÏñËØÖµ,º¯ÊýÖµ
0,35
1,39
2,43
3,45
4,46
5,48
6,49
7,50
8,51
9,52
10,52
11,54
12,55
13,56
14,57
15,58
16,60
17,61
18,62
19,63
20,64
21,65
22,66
23,67
24,68
25,69
26,70
27,71
28,73
29,74
30,76
31,79
32,81
33,84
34,87
35,91
36,94
37,98
38,101
39,104
40,106
41,109
42,110
43,112
44,113
45,114
46,115
47,116
48,117
49,118
50,118
51,119
52,120
53,121
54,122
55,122
56,123
57,124
58,125
59,126
60,127
61,128
62,129
63,130
64,131
65,132
66,133
67,134
68,135
69,137
70,138
71,139
72,141
73,142
74,144
75,145
76,147
77,149
78,151
79,154
80,156
81,158
82,161
83,163
84,165
85,168
86,170
87,172
88,174
89,176
90,177
91,179
92,180
93,182
94,183
95,185
96,186
97,187
98,188
99,190
100,191
101,192
102,193
103,194
104,195
105,196
106,197
107,198
108,198
109,199
110,200
111,201
112,201
113,202
114,203
115,203
116,204
117,204
118,205
119,206
120,206
121,207
122,207
123,208
124,208
125,209
126,209
127,209
128,210
129,210
130,211
131,211
132,212
133,212
134,212
135,213
136,213
137,214
138,214
139,214
140,215
141,215
142,215
143,216
144,216
145,217
146,217
147,217
148,218
149,218
150,219
151,219
152,219
153,220
154,220
155,221
156,221
157,221
158,222
159,222
160,223
161,223
162,224
163,224
164,224
165,225
166,225
167,226
168,226
169,226
170,227
171,227
172,228
173,228
174,229
175,229
176,229
177,230
178,230
179,231
180,231
181,232
182,232
183,233
184,233
185,234
186,234
187,235
188,235
189,236
190,237
191,237
192,238
193,239
194,239
195,240
196,240
197,241
198,241
199,242
200,242
201,243
202,243
203,244
204,244
205,245
206,245
207,246
208,246
209,247
210,247
211,248
212,249
213,250
214,250
215,251
216,252
217,252
218,253
219,253
220,253
221,253
222,253
223,254
224,254
225,254
226,254
227,254
228,254
229,254
230,254
231,254
232,254
233,254
234,254
235,254
236,254
237,254
238,254
239,254
240,254
241,254
242,254
243,254
244,254
245,254
246,254
247,254
248,254
249,254
250,254
251,254
252,254
253,-842150451
254,-842150451
255,-842150451
